Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Bacteriophage sp.		isolate: ctcj9	38018	ASM354455v1	GCA_003544555.1	GenBank		Complete Genome	40520	40520	2018-07-23		PRJNA393166	SAMN09074551
Bacteriophage sp.		isolate: ctbf364	38018	ASM354457v1	GCA_003544575.1	GenBank		Complete Genome	13216	13216	2018-07-31		PRJNA393166	SAMN09074552
Bacteriophage sp.		isolate: ctih36	38018	ASM354459v1	GCA_003544595.1	GenBank		Complete Genome	3161	3161	2018-07-31		PRJNA393166	SAMN09074534
Bacteriophage sp.		isolate: ctbc49	38018	ASM354461v1	GCA_003544615.1	GenBank		Complete Genome	4438	4438	2018-07-31		PRJNA393166	SAMN09074539
Bacteriophage sp.		isolate: ctda411	38018	ASM354463v1	GCA_003544635.1	GenBank		Complete Genome	8177	8177	2018-07-31		PRJNA393166	SAMN09074552
Bacteriophage sp.		isolate: ctcd45	38018	ASM354465v1	GCA_003544655.1	GenBank		Complete Genome	4522	4522	2018-07-31		PRJNA393166	SAMN09074539
Bacteriophage sp.		isolate: ctdb404	38018	ASM354467v1	GCA_003544675.1	GenBank		Complete Genome	11817	11817	2018-07-31		PRJNA393166	SAMN09074552
Bacteriophage sp.		isolate: ctbd499	38018	ASM354469v1	GCA_003544695.1	GenBank		Complete Genome	10753	10753	2018-07-31		PRJNA393166	SAMN09074552
Bacteriophage sp.		isolate: ctbe405	38018	ASM354471v1	GCA_003544715.1	GenBank		Complete Genome	8317	8317	2018-07-31		PRJNA393166	SAMN09074552
Bacteriophage sp.		isolate: ctcb314	38018	ASM354473v1	GCA_003544735.1	GenBank		Complete Genome	11219	11219	2018-07-31		PRJNA393166	SAMN09074552
Bacteriophage sp.		isolate: ctbi12	38018	ASM354475v1	GCA_003544755.1	GenBank		Complete Genome	10348	10348	2018-07-31		PRJNA393166	SAMN09074565
Bacteriophage sp.		isolate: ctdf4	38018	ASM354477v1	GCA_003544775.1	GenBank		Complete Genome	8215	8215	2018-07-31		PRJNA393166	SAMN09074539
Bacteriophage sp.		isolate: ctch905	38018	ASM354479v1	GCA_003544795.1	GenBank		Complete Genome	5467	5467	2018-07-31		PRJNA393166	SAMN09074552
Bacteriophage sp.		isolate: ctcc15	38018	ASM378120v1	GCA_003781205.1	GenBank		Complete Genome	4277	4277	2018-10-31		PRJNA393166	SAMN09074542
Bacteriophage sp.			38018	ASM589132v1	GCA_005891325.1	GenBank	Annotation submitted by Department of Microbiology, Perelman School of Medicine	Complete Genome	6416	6416	2012-02-22	4		
Bacteriophage sp.		isolate: 430	38018	ASM1259474v1	GCA_012594745.1	GenBank		Complete Genome	6006	6006	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 498	38018	ASM1259481v1	GCA_012594815.1	GenBank		Complete Genome	5379	5379	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 460	38018	ASM1259482v1	GCA_012594825.1	GenBank		Complete Genome	5730	5730	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 445	38018	ASM1259485v1	GCA_012594855.1	GenBank		Complete Genome	5920	5920	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 440	38018	ASM1259904v1	GCA_012599045.1	GenBank		Complete Genome	5954	5954	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 367	38018	ASM1259906v1	GCA_012599065.1	GenBank		Complete Genome	6722	6722	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 216	38018	ASM1259908v1	GCA_012599085.1	GenBank		Complete Genome	10143	10143	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 2	38018	ASM1259909v1	GCA_012599095.1	GenBank		Complete Genome	137464	137464	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 516	38018	ASM1259912v1	GCA_012599125.1	GenBank		Complete Genome	5191	5191	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 413	38018	ASM1259913v1	GCA_012599135.1	GenBank		Complete Genome	6207	6207	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 323	38018	ASM1259920v1	GCA_012599205.1	GenBank		Complete Genome	7375	7375	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 438	38018	ASM1259921v1	GCA_012599215.1	GenBank		Complete Genome	5960	5960	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 534	38018	ASM1259922v1	GCA_012599225.1	GenBank		Complete Genome	5058	5058	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 245	38018	ASM1259923v1	GCA_012599235.1	GenBank		Complete Genome	9254	9254	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 318	38018	ASM1259926v1	GCA_012599265.1	GenBank		Complete Genome	7519	7519	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 266	38018	ASM1259927v1	GCA_012599275.1	GenBank		Complete Genome	8648	8648	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 254	38018	ASM1259928v1	GCA_012599285.1	GenBank		Complete Genome	8924	8924	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 174	38018	ASM1259931v1	GCA_012599315.1	GenBank		Complete Genome	11741	11741	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 128	38018	ASM1259932v1	GCA_012599325.1	GenBank		Complete Genome	15100	15100	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 83	38018	ASM1259933v1	GCA_012599335.1	GenBank		Complete Genome	22889	22889	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 40	38018	ASM1259936v1	GCA_012599365.1	GenBank		Complete Genome	35804	35804	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 378	38018	ASM1259941v1	GCA_012599415.1	GenBank		Complete Genome	6562	6562	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 247	38018	ASM1259944v1	GCA_012599445.1	GenBank		Complete Genome	9175	9175	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 102	38018	ASM1259945v1	GCA_012599455.1	GenBank		Complete Genome	47472	47472	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 479	38018	ASM1259949v1	GCA_012599495.1	GenBank		Complete Genome	5538	5538	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 431	38018	ASM1259950v1	GCA_012599505.1	GenBank		Complete Genome	6004	6004	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 407	38018	ASM1259953v1	GCA_012599535.1	GenBank		Complete Genome	6232	6232	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 351	38018	ASM1259956v1	GCA_012599565.1	GenBank		Complete Genome	6964	6964	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 299	38018	ASM1259957v1	GCA_012599575.1	GenBank		Complete Genome	7875	7875	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 161	38018	ASM1259958v1	GCA_012599585.1	GenBank		Complete Genome	12848	12848	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 52	38018	ASM1259963v1	GCA_012599635.1	GenBank		Complete Genome	32049	32049	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 529	38018	ASM1259966v1	GCA_012599665.1	GenBank		Complete Genome	5097	5097	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 502	38018	ASM1259969v1	GCA_012599695.1	GenBank		Complete Genome	5294	5294	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 362	38018	ASM1259970v1	GCA_012599705.1	GenBank		Complete Genome	6813	6813	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 317	38018	ASM1259971v1	GCA_012599715.1	GenBank		Complete Genome	7543	7543	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 307	38018	ASM1259974v1	GCA_012599745.1	GenBank		Complete Genome	7731	7731	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 250	38018	ASM1259975v1	GCA_012599755.1	GenBank		Complete Genome	9016	9016	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 242	38018	ASM1259978v1	GCA_012599785.1	GenBank		Complete Genome	9308	9308	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 225	38018	ASM1259979v1	GCA_012599795.1	GenBank		Complete Genome	9752	9752	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 180	38018	ASM1259980v1	GCA_012599805.1	GenBank		Complete Genome	11533	11533	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 154	38018	ASM1259984v1	GCA_012599845.1	GenBank		Complete Genome	13073	13073	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 138	38018	ASM1259986v1	GCA_012599865.1	GenBank		Complete Genome	14462	14462	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 135	38018	ASM1259992v1	GCA_012599925.1	GenBank		Complete Genome	14810	14810	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 127	38018	ASM1259993v1	GCA_012599935.1	GenBank		Complete Genome	15119	15119	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 93	38018	ASM1259996v1	GCA_012599965.1	GenBank		Complete Genome	20704	20704	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 67	38018	ASM1259997v1	GCA_012599975.1	GenBank		Complete Genome	26701	26701	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 58	38018	ASM1259998v1	GCA_012599985.1	GenBank		Complete Genome	29325	29325	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 1	38018	ASM1259999v1	GCA_012599995.1	GenBank		Complete Genome	48212	48212	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 526	38018	ASM1260002v1	GCA_012600025.1	GenBank		Complete Genome	5113	5113	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 484	38018	ASM1260005v1	GCA_012600055.1	GenBank		Complete Genome	5506	5506	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 400	38018	ASM1260008v1	GCA_012600085.1	GenBank		Complete Genome	6331	6331	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 396	38018	ASM1260009v1	GCA_012600095.1	GenBank		Complete Genome	6340	6340	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 377	38018	ASM1260010v1	GCA_012600105.1	GenBank		Complete Genome	6564	6564	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 366	38018	ASM1260437v1	GCA_012604375.1	GenBank		Complete Genome	6759	6759	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 357	38018	ASM1260442v1	GCA_012604425.1	GenBank		Complete Genome	6889	6889	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 265	38018	ASM1260444v1	GCA_012604445.1	GenBank		Complete Genome	8654	8654	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 259	38018	ASM1260447v1	GCA_012604475.1	GenBank		Complete Genome	8786	8786	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 191	38018	ASM1260450v1	GCA_012604505.1	GenBank		Complete Genome	10901	10901	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 187	38018	ASM1260453v1	GCA_012604535.1	GenBank		Complete Genome	11014	11014	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 176	38018	ASM1260456v1	GCA_012604565.1	GenBank		Complete Genome	11658	11658	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 144	38018	ASM1260459v1	GCA_012604595.1	GenBank		Complete Genome	13913	13913	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 105	38018	ASM1260460v1	GCA_012604605.1	GenBank		Complete Genome	17853	17853	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 457	38018	ASM1260463v1	GCA_012604635.1	GenBank		Complete Genome	5781	5781	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 354	38018	ASM1260466v1	GCA_012604665.1	GenBank		Complete Genome	6916	6916	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 515	38018	ASM1260467v1	GCA_012604675.1	GenBank		Complete Genome	5209	5209	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 450	38018	ASM1260468v1	GCA_012604685.1	GenBank		Complete Genome	5854	5854	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 434	38018	ASM1260469v1	GCA_012604695.1	GenBank		Complete Genome	5999	5999	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 364	38018	ASM1260470v1	GCA_012604705.1	GenBank		Complete Genome	6781	6781	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 205	38018	ASM1260475v1	GCA_012604755.1	GenBank		Complete Genome	10478	10478	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 145	38018	ASM1260478v1	GCA_012604785.1	GenBank		Complete Genome	13848	13848	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 106	38018	ASM1260481v1	GCA_012604815.1	GenBank		Complete Genome	17820	17820	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 57	38018	ASM1260482v1	GCA_012604825.1	GenBank		Complete Genome	29347	29347	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 518	38018	ASM1260485v1	GCA_012604855.1	GenBank		Complete Genome	5174	5174	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 536	38018	ASM1260486v1	GCA_012604865.1	GenBank		Complete Genome	5053	5053	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 524	38018	ASM1260487v1	GCA_012604875.1	GenBank		Complete Genome	5148	5148	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 523	38018	ASM1260488v1	GCA_012604885.1	GenBank		Complete Genome	5149	5149	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 517	38018	ASM1260492v1	GCA_012604925.1	GenBank		Complete Genome	5178	5178	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 510	38018	ASM1260494v1	GCA_012604945.1	GenBank		Complete Genome	5224	5224	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 507	38018	ASM1260495v1	GCA_012604955.1	GenBank		Complete Genome	5257	5257	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 506	38018	ASM1260498v1	GCA_012604985.1	GenBank		Complete Genome	5261	5261	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 500	38018	ASM1260499v1	GCA_012604995.1	GenBank		Complete Genome	5307	5307	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 493	38018	ASM1260505v1	GCA_012605055.1	GenBank		Complete Genome	5442	5442	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 492	38018	ASM1260510v1	GCA_012605105.1	GenBank		Complete Genome	5460	5460	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 491	38018	ASM1260511v1	GCA_012605115.1	GenBank		Complete Genome	5464	5464	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 487	38018	ASM1260514v1	GCA_012605145.1	GenBank		Complete Genome	5495	5495	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 482	38018	ASM1260518v1	GCA_012605185.1	GenBank		Complete Genome	5525	5525	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 476	38018	ASM1260519v1	GCA_012605195.1	GenBank		Complete Genome	5550	5550	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 474	38018	ASM1260523v1	GCA_012605235.1	GenBank		Complete Genome	5564	5564	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 472	38018	ASM1260525v1	GCA_012605255.1	GenBank		Complete Genome	5598	5598	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 470	38018	ASM1260526v1	GCA_012605265.1	GenBank		Complete Genome	5627	5627	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 468	38018	ASM1260527v1	GCA_012605275.1	GenBank		Complete Genome	5647	5647	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 465	38018	ASM1260530v1	GCA_012605305.1	GenBank		Complete Genome	5664	5664	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 463	38018	ASM1260533v1	GCA_012605335.1	GenBank		Complete Genome	5680	5680	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 458	38018	ASM1260534v1	GCA_012605345.1	GenBank		Complete Genome	5735	5735	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 444	38018	ASM1260540v1	GCA_012605405.1	GenBank		Complete Genome	5924	5924	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 441	38018	ASM1260543v1	GCA_012605435.1	GenBank		Complete Genome	5942	5942	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 436	38018	ASM1260544v1	GCA_012605445.1	GenBank		Complete Genome	5983	5983	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 433	38018	ASM1260547v1	GCA_012605475.1	GenBank		Complete Genome	6002	6002	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 423	38018	ASM1260957v1	GCA_012609575.1	GenBank		Complete Genome	6127	6127	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 422	38018	ASM1260958v1	GCA_012609585.1	GenBank		Complete Genome	6131	6131	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 419	38018	ASM1260959v1	GCA_012609595.1	GenBank		Complete Genome	6151	6151	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 418	38018	ASM1260962v1	GCA_012609625.1	GenBank		Complete Genome	6152	6152	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 417	38018	ASM1260965v1	GCA_012609655.1	GenBank		Complete Genome	6170	6170	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 412	38018	ASM1260968v1	GCA_012609685.1	GenBank		Complete Genome	6208	6208	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 390	38018	ASM1260972v1	GCA_012609725.1	GenBank		Complete Genome	6436	6436	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 389	38018	ASM1260976v1	GCA_012609765.1	GenBank		Complete Genome	6451	6451	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 386	38018	ASM1260979v1	GCA_012609795.1	GenBank		Complete Genome	6481	6481	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 385	38018	ASM1260980v1	GCA_012609805.1	GenBank		Complete Genome	6481	6481	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 384	38018	ASM1260983v1	GCA_012609835.1	GenBank		Complete Genome	6483	6483	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 372	38018	ASM1260984v1	GCA_012609845.1	GenBank		Complete Genome	6635	6635	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 370	38018	ASM1260985v1	GCA_012609855.1	GenBank		Complete Genome	6666	6666	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 365	38018	ASM1260987v1	GCA_012609875.1	GenBank		Complete Genome	6772	6772	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 347	38018	ASM1260990v1	GCA_012609905.1	GenBank		Complete Genome	7028	7028	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 336	38018	ASM1261000v1	GCA_012610005.1	GenBank		Complete Genome	7198	7198	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 335	38018	ASM1261003v1	GCA_012610035.1	GenBank		Complete Genome	7203	7203	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 328	38018	ASM1261004v1	GCA_012610045.1	GenBank		Complete Genome	7327	7327	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 309	38018	ASM1261005v1	GCA_012610055.1	GenBank		Complete Genome	7705	7705	2020-01-21		PRJNA579886	SAMN13135928
Bacteriophage sp.		isolate: 308	38018	ASM1261006v1	GCA_012610065.1	GenBank		Complete Genome	7717	7717	2020-01-21		PRJNA579886	SAMN13135928
